Date,Employee_ID,Team,Tasks_Completed,Hours_Worked,Productivity_Score,Task_Type,Task_Priority,Overtime_Hours,Meeting_Hours
2022-01-09,E124,Team B,3,6.627584754841109,61.7,Feature Development,Medium,1.72,2.81
2022-01-09,E125,Team C,5,9.234960723545438,64.0,Documentation,Medium,0.38,0.38
2022-01-09,E126,Team D,10,6.963053362750308,75.74,Code Review,Medium,0.05,3.33
2022-01-09,E127,Team C,8,6.501301569767002,83.45,Bug Fix,High,0.33,3.63
2022-01-10,E123,Team B,2,8.465330723175956,62.76,User Support,Medium,1.79,1.95
2022-01-10,E124,Team A,1,6.799074685851426,90.12,Documentation,Medium,2.09,2.46
2022-01-10,E125,Team D,3,6.530607113925783,66.3,Security Patching,Low,0.66,0.33
2022-01-10,E126,Team A,1,6.7604948304014965,93.06,User Support,High,1.01,2.96
2022-01-10,E127,Team A,4,6.442077792796217,75.59,Bug Fix,High,0.37,0.7
2022-01-11,E123,Team A,5,7.514813090172665,94.41,Testing,Low,0.79,2.66
2022-01-11,E124,Team A,7,8.80881339628801,76.45,Feature Development,High,0.03,3.6
2022-01-11,E125,Team C,5,7.405532624244961,79.99,Feature Development,Medium,2.4,3.05
2022-01-11,E126,Team D,6,6.561793046968938,90.9,Security Patching,Medium,1.38,0.74
2022-01-11,E127,Team B,2,9.459065692814416,69.69,Security Patching,Low,2.9,2.38
2022-01-12,E123,Team A,5,6.419062562628447,99.04,Testing,Low,0.2,1.92
2022-01-12,E124,Team D,1,8.395333268793648,68.27,System Maintenance,Medium,1.03,0.52
2022-01-12,E125,Team A,6,9.545538912123686,95.49,Testing,Low,0.1,3.71
2022-01-12,E126,Team C,8,6.89568007609656,88.06,System Maintenance,Medium,2.4,0.39
2022-01-12,E127,Team B,8,6.600899427339359,91.54,Code Review,Low,0.24,0.45
2022-01-13,E123,Team A,7,6.200458222589436,94.55,Feature Development,Low,1.62,2.87
2022-01-13,E124,Team A,10,6.667131536830645,89.31,Bug Fix,Medium,2.14,2.34
2022-01-13,E125,Team A,2,6.665799461026229,99.5,Security Patching,High,1.48,2.72
2022-01-13,E126,Team B,1,7.072341689290258,61.36,Testing,Low,2.48,2.22
2022-01-13,E127,Team C,5,7.760607467480128,80.83,User Support,Medium,0.66,2.39
2022-01-14,E123,Team A,4,9.767976655861853,68.59,Bug Fix,Medium,0.18,3.39
2022-01-14,E124,Team A,9,7.709228366946684,61.53,Database Optimization,High,0.18,2.7
2022-01-14,E125,Team D,8,6.751754124274999,83.79,Code Review,Medium,1.73,3.47
2022-01-14,E126,Team B,7,9.60207476976931,91.22,User Support,High,2.44,2.92
2022-01-14,E127,Team C,8,6.488659532336127,62.18,User Support,High,2.96,0.54
2022-01-15,E123,Team A,1,9.658511483522005,76.82,Feature Development,High,0.86,0.83
2022-01-15,E124,Team B,3,7.348402668071274,79.3,Security Patching,Medium,1.75,3.14
2022-01-15,E125,Team D,9,9.783724321051793,67.91,Testing,Low,2.32,2.63
2022-01-15,E126,Team B,2,8.216677980702793,69.91,Testing,High,1.53,0.06
2022-01-15,E127,Team B,7,8.373731726420264,83.57,Testing,High,2.6,1.09
2022-01-16,E123,Team C,10,9.449398069308257,83.13,System Maintenance,Low,0.62,1.63
2022-01-16,E124,Team D,3,8.606424428243304,90.53,Database Optimization,Medium,1.6,3.05
2022-01-16,E125,Team A,6,7.936269506720739,86.04,Testing,High,0.32,0.09
2022-01-16,E126,Team B,5,8.938976800695581,67.3,Feature Development,Medium,0.31,3.23
2022-01-16,E127,Team A,7,7.023519583767003,84.45,Bug Fix,High,1.34,1.77
2022-01-17,E123,Team B,5,8.741237722969176,89.34,Testing,Low,0.36,3.43
2022-01-17,E124,Team D,7,8.568033608574142,67.83,Code Review,Low,0.04,2.98
2022-01-17,E125,Team B,7,8.117683450669007,79.03,Feature Development,Low,0.67,1.85
2022-01-17,E126,Team C,10,7.316069079722526,68.32,Code Review,Low,1.78,2.54
2022-01-17,E127,Team B,3,7.091861809105401,96.2,Testing,Low,1.29,3.79
2022-01-18,E123,Team B,7,9.863690205264662,88.35,User Support,Low,2.5,2.47
2022-01-18,E124,Team D,3,6.145654850315996,79.94,Documentation,High,2.45,3.41
2022-01-18,E125,Team B,7,7.426614973288534,77.09,Deployment,Low,1.41,2.93
2022-01-18,E126,Team C,10,9.009266621457822,94.87,System Maintenance,Medium,1.13,2.37
2022-01-18,E127,Team D,5,7.076772640494516,81.8,Documentation,High,0.74,0.13
2022-01-19,E123,Team A,3,6.365523292806563,69.25,Deployment,Low,2.16,3.1
2022-01-19,E124,Team C,10,6.588163907950355,75.77,Feature Development,Medium,2.18,3.5
2022-01-19,E125,Team A,8,7.180771748514483,97.88,Database Optimization,Medium,1.93,0.57
2022-01-19,E126,Team A,5,6.692676845180305,85.88,User Support,Medium,0.31,0.4
2022-01-19,E127,Team D,5,7.006667169606132,79.78,Database Optimization,High,0.47,2.41
2022-01-20,E123,Team B,9,6.105990881283521,98.55,User Support,Medium,2.91,2.09
2022-01-20,E124,Team D,10,7.967193188720935,77.21,Documentation,Low,0.85,2.45
2022-01-20,E125,Team B,3,7.144847277527682,66.14,User Support,Medium,2.57,1.94
2022-01-20,E126,Team D,4,6.303561121712125,97.87,Deployment,Medium,1.52,2.9
2022-01-20,E127,Team B,7,9.856387977730655,84.37,Documentation,High,1.15,2.34
2022-01-21,E123,Team D,2,9.880942392526617,64.18,System Maintenance,Medium,0.58,2.92
2022-01-21,E124,Team A,9,9.99607380685888,95.86,Documentation,Medium,2.94,3.28
2022-01-21,E125,Team D,9,6.7566480298243565,75.09,Deployment,High,2.74,3.03
2022-01-21,E126,Team D,6,6.665726938177221,78.48,Code Review,Medium,0.44,3.17
2022-01-21,E127,Team B,4,8.674782285424282,78.05,System Maintenance,Low,1.85,2.95
2022-01-22,E123,Team D,4,9.288953312275126,77.19,Documentation,Low,2.41,2.05
2022-01-22,E124,Team B,9,9.053434145496603,64.3,Feature Development,Medium,0.51,3.3
2022-01-22,E125,Team B,4,8.208469688022642,95.72,System Maintenance,Low,2.15,2.56
2022-01-22,E126,Team B,7,9.84052295734265,64.02,Security Patching,Medium,0.37,3.49
2022-01-22,E127,Team C,1,9.368656387102728,97.31,User Support,Low,2.41,0.92
2022-01-23,E123,Team C,10,8.211921508942847,62.95,Deployment,Medium,1.3,1.63
2022-01-23,E124,Team D,2,9.546512821490207,60.94,Testing,Low,2.65,1.34
2022-01-23,E125,Team C,9,8.82305710219842,78.88,Database Optimization,Low,3.0,0.84
2022-01-23,E126,Team B,3,9.235321107017784,60.6,Deployment,High,0.06,2.66
2022-01-23,E127,Team A,4,8.702940003644645,75.85,Bug Fix,High,0.17,2.23
2022-01-24,E123,Team D,9,7.575275766437686,99.69,Database Optimization,Low,2.52,2.75
2022-01-24,E124,Team C,9,9.032208787156826,83.77,Testing,High,1.83,0.21
2022-01-24,E125,Team C,10,6.076714685264912,90.96,Documentation,Low,2.61,3.87
2022-01-24,E126,Team A,8,6.020198014575195,82.35,Code Review,High,2.19,0.56
2022-01-24,E127,Team B,4,7.6227463518552705,83.34,Feature Development,Medium,2.89,2.97
2022-01-25,E123,Team A,5,8.64829606253653,93.91,Security Patching,High,0.49,0.5
2022-01-25,E124,Team B,1,8.751141345962694,61.74,User Support,Low,0.54,0.89
2022-01-25,E125,Team A,10,8.813847042746863,93.08,Deployment,Low,0.43,2.0
2022-01-25,E126,Team B,1,7.656027255953703,86.16,Bug Fix,Medium,0.06,2.23
2022-01-25,E127,Team A,2,7.504410273662991,81.03,Feature Development,Low,0.73,0.67
2022-01-26,E123,Team A,4,9.393177079402067,90.3,Documentation,Medium,0.6,0.37
2022-01-26,E124,Team A,10,8.40307992399229,84.93,System Maintenance,Medium,2.19,1.58
2022-01-26,E125,Team D,1,9.078267280156535,92.39,Deployment,Medium,1.31,1.04
2022-01-26,E126,Team B,4,7.5857993132947,63.7,Database Optimization,High,0.48,0.07
2022-01-26,E127,Team A,1,6.709141137785055,93.47,Database Optimization,High,1.17,0.51
2022-01-27,E123,Team D,5,8.84285845553153,97.96,Testing,Medium,1.99,2.79
2022-01-27,E124,Team B,4,8.982379455336504,76.03,System Maintenance,Low,0.68,2.78
2022-01-27,E125,Team C,1,6.490049238997851,66.36,Bug Fix,High,2.85,2.47
2022-01-27,E126,Team C,8,8.02522604000475,78.74,Database Optimization,Medium,2.21,0.39
2022-01-27,E127,Team A,5,7.098991471723631,93.92,Deployment,High,1.63,1.38
2022-01-28,E123,Team C,4,8.576399768248043,97.89,User Support,Medium,1.02,0.23
2022-01-28,E124,Team D,3,6.880717144097206,72.43,Feature Development,Medium,1.49,3.94
2022-01-28,E125,Team C,9,8.010526089445243,94.78,User Support,Low,2.3,0.07
2022-01-28,E126,Team B,10,8.196838076730034,60.39,User Support,Low,2.23,0.96
2022-01-28,E127,Team B,3,8.062855257650435,67.12,Deployment,Medium,1.74,3.87
2022-01-29,E123,Team D,6,9.48738928652753,98.23,Documentation,High,1.03,2.16
2022-01-29,E124,Team A,8,8.973290513517298,75.69,System Maintenance,High,1.56,1.16
2022-01-29,E125,Team D,10,6.872561301374861,77.71,Bug Fix,Medium,2.34,3.06
2022-01-29,E126,Team C,8,6.639166557180488,70.39,Code Review,High,1.36,1.15
2022-01-29,E127,Team B,5,6.920645438302022,80.94,Database Optimization,High,0.23,2.18
2022-01-30,E123,Team D,6,8.59103398319959,62.2,System Maintenance,High,2.31,3.89
2022-01-30,E124,Team D,4,8.204864105689389,67.19,Testing,Medium,2.77,2.53
2022-01-30,E125,Team B,7,8.709595576327889,80.27,Code Review,Low,0.51,3.43
2022-01-30,E126,Team A,7,8.392814693675124,63.08,Testing,Low,0.37,0.03
2022-01-30,E127,Team A,2,8.881129832799223,68.83,Feature Development,High,2.14,1.65
2022-01-31,E123,Team D,9,9.125211998301513,81.68,Documentation,Low,1.34,0.48
2022-01-31,E124,Team A,1,9.535548164035074,91.01,Database Optimization,Medium,2.98,2.4
2022-01-31,E125,Team A,7,9.360147208104621,72.99,Database Optimization,Low,0.39,1.11
2022-01-31,E126,Team B,9,7.4324256041178645,96.86,Code Review,Low,2.71,0.76
2022-01-31,E127,Team A,9,8.873815361079277,77.36,Deployment,High,0.08,1.26
2022-02-01,E123,Team D,3,8.537390569850958,98.85,Deployment,Medium,2.42,1.46
2022-02-01,E124,Team D,4,7.336823021170425,99.67,System Maintenance,Medium,2.92,0.55
2022-02-01,E125,Team B,5,8.017984638882538,68.62,Deployment,Low,2.17,3.77
2022-02-01,E126,Team A,4,8.000672862966386,99.19,Bug Fix,Low,2.19,2.39
2022-02-01,E127,Team C,5,6.172632243297053,74.61,Security Patching,Medium,2.9,3.45
2022-02-02,E123,Team D,2,7.479175614862478,61.01,Database Optimization,Low,1.62,0.7
2022-02-02,E124,Team B,6,7.9015743306964,97.07,Bug Fix,High,0.33,0.82
2022-02-02,E125,Team A,8,9.630478927825381,88.22,User Support,Low,0.64,0.8
2022-02-02,E126,Team B,2,9.978193286250175,77.57,Database Optimization,High,2.76,3.45
2022-02-02,E127,Team B,9,9.210846883577986,79.05,User Support,Medium,1.75,2.93
2022-02-03,E123,Team D,8,6.939551812943637,88.89,User Support,High,1.54,3.56
2022-02-03,E124,Team A,3,6.305479768784003,67.41,Feature Development,Medium,1.88,3.72
2022-02-03,E125,Team B,6,6.523850642849818,65.63,Security Patching,Low,1.4,0.84
2022-02-03,E126,Team B,2,9.52237185507415,87.85,System Maintenance,High,1.15,2.3
2022-02-03,E127,Team D,6,7.9502732621488,65.91,Feature Development,Low,0.86,1.61
2022-02-04,E123,Team D,9,9.843259312639564,69.61,Documentation,Medium,0.98,0.13
2022-02-04,E124,Team B,10,9.681719259082076,60.93,System Maintenance,Medium,0.94,0.53
2022-02-04,E125,Team C,1,7.178200204312809,65.94,Bug Fix,High,1.67,0.46
2022-02-04,E126,Team B,5,9.352559407947524,88.86,User Support,Medium,2.88,3.09
2022-02-04,E127,Team D,4,9.6960712307713,85.76,User Support,Low,2.25,2.63
2022-02-05,E123,Team B,10,9.74628438866385,66.29,System Maintenance,Low,2.08,2.97
2022-02-05,E124,Team A,9,6.8782433974760755,89.89,System Maintenance,High,0.02,2.01
2022-02-05,E125,Team D,5,8.348774224558806,90.92,Testing,High,0.42,3.63
2022-02-05,E126,Team B,6,8.040138404048466,98.44,Code Review,Low,0.36,3.32
2022-02-05,E127,Team A,8,8.363452971934791,68.18,Security Patching,High,1.66,0.69
2022-02-06,E123,Team B,1,7.605258832613345,65.16,Security Patching,High,2.31,0.71
2022-02-06,E124,Team D,1,8.994297885115792,78.78,Feature Development,High,2.3,3.59
2022-02-06,E125,Team A,1,9.398535331654386,81.42,Bug Fix,Low,0.89,2.64
2022-02-06,E126,Team D,7,9.706781678835434,68.19,Database Optimization,Medium,1.25,2.52
2022-02-06,E127,Team B,5,9.815169967908844,63.79,Bug Fix,High,2.13,2.23
2022-02-07,E123,Team B,3,6.322449050076109,84.55,Deployment,Low,1.13,0.05
2022-02-07,E124,Team D,2,7.331234252836074,96.25,Database Optimization,Low,0.07,0.73
2022-02-07,E125,Team D,8,8.955034716069184,66.68,Deployment,High,1.26,0.79
2022-02-07,E126,Team C,9,7.318782255755092,62.99,Security Patching,Low,1.29,2.7
2022-02-07,E127,Team A,4,7.439374828494156,87.32,Bug Fix,High,2.07,3.97
2022-02-08,E123,Team A,4,6.490437609521343,79.11,Documentation,High,0.9,2.64
2022-02-08,E124,Team B,3,7.157975656250843,92.21,Code Review,Medium,1.39,1.79
2022-02-08,E125,Team A,8,8.54718208931045,88.01,Database Optimization,Medium,1.04,0.56
2022-02-08,E126,Team D,6,9.145358439839878,89.05,Feature Development,Low,1.75,3.18
2022-02-08,E127,Team A,9,7.185419100824862,90.71,Bug Fix,Low,0.86,2.48
2022-02-09,E123,Team C,3,7.571243342536895,97.09,Code Review,Low,0.29,3.02
2022-02-09,E124,Team B,7,9.323646543638043,84.19,Feature Development,High,0.23,0.16
2022-02-09,E125,Team C,6,9.828035088182027,80.03,Testing,Low,2.62,1.34
2022-02-09,E126,Team D,10,9.748689822921412,76.48,Bug Fix,High,2.1,3.62
2022-02-09,E127,Team D,2,6.245634224981938,70.26,System Maintenance,High,0.36,2.45
2022-02-10,E123,Team B,10,9.40089274821133,62.47,System Maintenance,Low,2.74,1.56
2022-02-10,E124,Team C,2,9.40349207016158,80.93,Testing,Medium,2.45,1.93
2022-02-10,E125,Team D,7,8.176965029882854,80.3,Code Review,Low,0.21,1.48
2022-02-10,E126,Team B,9,7.886584606791155,62.0,System Maintenance,Medium,1.27,1.32
2022-02-10,E127,Team A,6,7.034678933795803,73.37,Documentation,Medium,1.82,3.05
2022-02-11,E123,Team C,4,7.106824941408038,65.47,Deployment,Medium,2.28,3.12
2022-02-11,E124,Team D,2,9.117701395899733,76.47,Database Optimization,Medium,1.07,3.18
2022-02-11,E125,Team A,7,7.077963120443326,62.15,Security Patching,Low,2.26,3.04
2022-02-11,E126,Team D,5,8.102163569474902,62.45,Documentation,High,1.73,2.76
2022-02-11,E127,Team B,5,9.919536409623966,60.77,System Maintenance,High,0.32,1.5
2022-02-12,E123,Team D,4,6.248381198736558,60.69,Code Review,Medium,0.72,3.35
2022-02-12,E124,Team C,6,7.880457794607439,81.8,User Support,Medium,0.36,2.47
2022-02-12,E125,Team D,7,7.7831241142267835,83.85,Feature Development,Medium,2.13,1.92
2022-02-12,E126,Team D,1,7.628813848545601,85.15,Security Patching,Low,1.87,0.23
2022-02-12,E127,Team D,4,9.084189025833073,77.0,Code Review,Medium,2.12,2.08
2022-02-13,E123,Team C,4,6.126518901264268,68.2,Documentation,High,2.23,0.74
2022-02-13,E124,Team D,5,7.410749721106174,98.52,Testing,Medium,2.89,1.56
2022-02-13,E125,Team D,7,7.4923819404249254,83.84,Testing,High,1.34,1.44
2022-02-13,E126,Team B,9,9.92788714975605,93.14,Feature Development,Low,0.39,2.95
2022-02-13,E127,Team C,5,7.399113453573621,76.95,Deployment,High,0.8,3.67
2022-02-14,E123,Team B,2,8.755178765925802,92.22,Security Patching,High,2.09,1.89
2022-02-14,E124,Team B,8,7.152371154810375,94.77,Security Patching,Medium,0.24,2.64
2022-02-14,E125,Team A,6,8.405131070595479,80.46,Database Optimization,Low,1.43,2.15
2022-02-14,E126,Team A,1,8.240955190488634,73.5,Bug Fix,Medium,0.43,2.5
2022-02-14,E127,Team B,3,9.892594446932025,68.5,Bug Fix,Medium,2.29,3.65
2022-02-15,E123,Team A,8,8.846347267460716,74.66,Testing,Low,1.6,0.54
2022-02-15,E124,Team C,6,8.319825477019172,93.35,System Maintenance,Low,1.43,3.98
2022-02-15,E125,Team A,2,9.784476783938816,72.89,Code Review,High,1.09,1.75
2022-02-15,E126,Team C,4,7.067486458306481,64.5,Deployment,Low,0.83,1.57
2022-02-15,E127,Team C,2,9.39248217413422,62.39,Deployment,Medium,2.66,0.05
2022-02-16,E123,Team C,5,6.164994508763195,66.16,Feature Development,Low,1.84,4.0
2022-02-16,E124,Team C,5,7.412421760408128,85.04,Documentation,Medium,1.03,3.85
2022-02-16,E125,Team D,2,9.029371809838901,62.0,Database Optimization,Medium,2.9,0.74
2022-02-16,E126,Team C,4,8.17538042511314,72.76,Database Optimization,High,0.22,1.38
2022-02-16,E127,Team C,8,6.354724400090269,66.1,Code Review,Medium,1.13,1.47
2022-02-17,E123,Team B,6,9.385246557191874,97.16,Code Review,Medium,0.59,0.6
2022-02-17,E124,Team D,5,7.748634068664762,74.95,Security Patching,Low,2.44,2.94
2022-02-17,E125,Team C,8,8.834959258058008,76.63,Testing,Low,1.98,2.42
2022-02-17,E126,Team C,1,6.030947620432476,63.18,User Support,High,1.62,2.68
2022-02-17,E127,Team D,10,7.506748286680819,74.59,Security Patching,Medium,2.84,2.64
2022-02-18,E123,Team B,1,7.109316669412911,75.41,Code Review,High,1.72,3.39
2022-02-18,E124,Team A,10,8.387322975535875,75.11,System Maintenance,High,0.91,2.78
2022-02-18,E125,Team D,3,7.267688702865483,66.85,System Maintenance,Low,1.51,1.91
2022-02-18,E126,Team C,8,8.629197219198296,72.14,Code Review,Low,1.45,3.88
2022-02-18,E127,Team C,1,8.309199736478604,91.23,Deployment,Low,0.11,2.83
2022-02-19,E123,Team C,5,7.446218858421643,92.02,Code Review,High,0.5,3.6
2022-02-19,E124,Team D,1,6.402532459582256,93.79,Testing,Medium,2.96,3.75
2022-02-19,E125,Team A,6,7.378805988215358,84.13,Bug Fix,High,0.13,1.77
2022-02-19,E126,Team C,4,6.922118915578292,79.01,Database Optimization,High,1.19,0.57
2022-02-19,E127,Team C,9,7.279210846401309,63.29,System Maintenance,Low,1.56,2.16
2022-02-20,E123,Team B,6,7.540741634030292,71.42,Bug Fix,Medium,0.29,3.44
2022-02-20,E124,Team B,9,7.565340738187439,63.1,Testing,Low,0.42,1.31
2022-02-20,E125,Team B,1,7.571934980139518,89.16,Feature Development,Low,2.63,1.9
2022-02-20,E126,Team C,7,8.467114733328447,80.19,User Support,Medium,1.39,3.11
2022-02-20,E127,Team D,2,8.95208047871266,65.0,Documentation,Low,2.04,3.2
2022-02-21,E123,Team D,9,8.725497897149266,87.65,Bug Fix,High,0.04,3.3
2022-02-21,E124,Team D,6,8.204267175200346,69.16,Deployment,Medium,2.12,2.27
2022-02-21,E125,Team A,4,8.938075556275114,91.34,Feature Development,Low,2.88,1.13
2022-02-21,E126,Team D,6,7.509735852528964,87.47,Code Review,Medium,1.15,0.7
2022-02-21,E127,Team B,5,7.358733812134736,65.58,Documentation,Medium,0.29,3.17
2022-02-22,E123,Team C,9,7.173596307669352,97.31,Deployment,Medium,1.55,2.81
2022-02-22,E124,Team C,3,8.419011793767543,89.43,Database Optimization,Low,0.99,0.27
2022-02-22,E125,Team C,1,9.030468404091101,84.91,Code Review,High,1.11,1.69
2022-02-22,E126,Team C,9,7.961150320109536,61.8,Security Patching,Low,0.24,1.51
2022-02-22,E127,Team C,10,9.58839157185334,82.5,Database Optimization,Medium,0.97,1.36
2022-02-23,E123,Team D,3,6.083437369969806,89.45,Testing,High,1.54,0.13
2022-02-23,E124,Team D,3,8.895473346696827,71.26,Bug Fix,High,1.79,2.39
2022-02-23,E125,Team A,7,9.101962913681271,87.87,Bug Fix,High,2.05,3.78
2022-02-23,E126,Team C,6,7.8977689287022965,61.39,Feature Development,Medium,0.11,3.27
2022-02-23,E127,Team A,10,9.714421918745934,98.72,Security Patching,High,2.57,3.86
2022-02-24,E123,Team D,10,8.930459074188615,79.15,Code Review,Medium,0.18,1.37
2022-02-24,E124,Team B,8,9.993550663299182,93.52,System Maintenance,Medium,1.79,1.72
2022-02-24,E125,Team B,7,7.714508635109905,72.06,Database Optimization,Medium,1.76,0.53
2022-02-24,E126,Team D,7,7.087138482842542,69.71,Documentation,Medium,2.77,1.88
2022-02-24,E127,Team D,3,7.553297695037532,72.75,Documentation,High,2.2,1.89
2022-02-25,E123,Team C,5,9.256914464503392,88.74,Database Optimization,High,0.37,0.31
2022-02-25,E124,Team C,4,7.643143018968495,69.68,Database Optimization,Medium,0.74,3.37
2022-02-25,E125,Team A,3,8.111997506813722,68.31,Security Patching,High,0.91,1.27
2022-02-25,E126,Team D,5,6.489522579550619,89.5,Deployment,Medium,1.16,2.68
2022-02-25,E127,Team A,7,6.861420731873703,71.45,Database Optimization,High,1.15,1.02
2022-02-26,E123,Team D,8,8.949455430351366,66.7,User Support,High,2.41,2.08
2022-02-26,E124,Team D,4,6.311047076610606,73.08,Bug Fix,Medium,0.54,1.39
2022-02-26,E125,Team B,9,7.516066264669025,73.99,Deployment,Low,2.24,0.74
2022-02-26,E126,Team B,9,9.67352717543825,81.43,Documentation,High,1.2,0.26
2022-02-26,E127,Team A,6,9.929013896487596,79.71,Database Optimization,High,0.63,2.61
2022-02-27,E123,Team C,1,7.598387722736223,74.49,Documentation,Low,1.82,2.39
2022-02-27,E124,Team A,7,7.631038708691561,87.33,Feature Development,Medium,2.3,2.48
2022-02-27,E125,Team B,2,9.098009953988521,64.34,User Support,Medium,0.36,3.58
2022-02-27,E126,Team B,3,8.898278866716911,64.89,Bug Fix,Low,1.88,3.95
2022-02-27,E127,Team B,9,9.112231438009998,61.22,Code Review,Medium,1.56,2.62
2022-02-28,E123,Team D,7,6.223443790746011,75.99,Code Review,High,0.5,0.08
2022-02-28,E124,Team A,8,6.990384574033703,75.69,Bug Fix,High,2.6,0.86
2022-02-28,E125,Team B,9,8.319275794219017,66.24,Database Optimization,High,0.48,3.91
2022-02-28,E126,Team A,9,6.610371686988858,69.65,Code Review,High,2.11,1.72
2022-02-28,E127,Team A,2,9.962954828417438,86.43,System Maintenance,Low,0.59,3.03
2022-03-01,E123,Team C,8,8.177994849076239,74.13,Bug Fix,Medium,0.31,0.37
2022-03-01,E124,Team C,8,6.325203928252886,82.5,Feature Development,Low,1.37,1.48
2022-03-01,E125,Team C,9,8.87670269703968,80.06,Security Patching,Medium,0.58,3.34
2022-03-01,E126,Team A,4,7.350587769960653,96.87,Documentation,High,0.77,2.16
2022-03-01,E127,Team D,9,7.770171961296283,79.6,Security Patching,High,1.75,2.04
2022-03-02,E123,Team C,10,7.0726738036551025,96.32,Deployment,Low,2.55,0.08
2022-03-02,E124,Team C,10,7.813323458822081,80.88,Code Review,Low,2.82,2.94
2022-03-02,E125,Team A,6,6.9988094599971244,68.0,Database Optimization,High,1.45,0.89
2022-03-02,E126,Team C,5,7.4693848469842905,70.86,Database Optimization,High,2.7,0.57
2022-03-02,E127,Team D,10,8.532133587252655,68.21,Feature Development,Medium,1.99,2.86
2022-03-03,E123,Team A,7,6.922381335912373,61.33,Code Review,High,1.07,3.23
2022-03-03,E124,Team C,6,6.498534070625037,78.73,Documentation,Medium,2.36,1.51
2022-03-03,E125,Team D,10,9.154678268629928,86.12,Testing,Medium,0.8,2.04
2022-03-03,E126,Team B,8,6.580436990652554,93.58,Deployment,Low,1.33,2.36
